Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
1000,68,1,1,1,0,34,Irajá,Rio de Janeiro,norte
1700,90,4,0,1,0,90,Cidade Nova,Rio de Janeiro,centro
600,50,2,1,2,468,0,Tomás Coelho,Rio de Janeiro,norte
1200,90,3,1,2,0,0,Santa Cruz,Rio de Janeiro,oeste
2400,61,3,1,2,700,67,Penha,Rio de Janeiro,norte
550,45,1,0,1,300,0,Quintino Bocaiuva,Rio de Janeiro,norte
1596,55,2,1,1,750,0,Maracanã,Rio de Janeiro,norte
1100,40,2,1,1,240,0,Oswaldo Cruz,Rio de Janeiro,norte
2000,35,1,0,1,400,0,Centro,Rio de Janeiro,centro
1200,110,2,0,1,0,0,Praça Seca,Rio de Janeiro,oeste
500,43,2,1,1,411,0,Campo Grande,Rio de Janeiro,oeste
690,50,2,1,1,329,0,Pavuna,Rio de Janeiro,norte
1500,58,2,0,1,590,13,Tijuca,Rio de Janeiro,norte
2200,98,2,1,2,1180,104,Vila Isabel,Rio de Janeiro,norte
2300,60,1,1,1,600,0,São Cristóvão,Rio de Janeiro,centro
900,70,2,0,1,337,59,Engenho Novo,Rio de Janeiro,norte
1100,46,2,1,1,599,38,Cascadura,Rio de Janeiro,norte
3100,110,3,2,2,1600,342,Tijuca,Rio de Janeiro,norte
1750,36,1,0,1,0,0,Cosme Velho,Rio de Janeiro,sul
1100,60,2,1,1,0,0,Inhoaíba,Rio de Janeiro,oeste
895,62,2,1,1,150,0,Irajá,Rio de Janeiro,norte
